Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
narb005,Jakarta Utara,Ancol,1,1,1,31.0,40000000
tmjb017,Jakarta Pusat,Kemayoran,0,1,1,49.0,55000000
trsd052,Jakarta Barat,Tanjung Duren,0,2,3,65.0,75000000
wskd001,Jakarta Barat,Kedoya,1,2,3,101.0,60000000
spva011,Jakarta Utara,Sunter,1,1,0,22.0,37950000
mg1c120,Jakarta Barat,Tanjung Duren,1,1,2,40.0,45000000
gdbc010,Jakarta Selatan,Pejaten,1,1,2,50.0,76000000
mpra045,Jakarta Barat,Kedoya,1,1,0,32.0,47000000
tmbc004,Jakarta Pusat,Kemayoran,1,1,2,49.0,75000000
tnac012,Tangerang,Karang Tengah,1,1,2,46.0,37500000
klcb014,Jakarta Selatan,Pancoran,1,1,1,30.0,66000000
moic039,Jakarta Utara,Kelapa Gading,1,1,2,45.0,63000000
gprc018,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,45000000
kgca026,Jakarta Selatan,Kebagusan,1,1,0,22.0,29250000
bscd012,Jakarta Timur,Cipinang,1,1,3,48.0,58000000
trsa027,Jakarta Barat,Tanjung Duren,0,1,0,26.0,35000000
esdc003,Jakarta Selatan,Dharmawangsa,1,2,2,134.0,405000000
pucc021,Jakarta Barat,Cengkareng,1,1,2,50.0,63000000
thrc013,Jakarta Pusat,Thamrin,1,1,2,65.0,132000000
svcc007,Jakarta Utara,Pluit,1,2,2,75.0,90000000
ppva064,Jakarta Barat,Kebon Jeruk,1,1,0,24.0,250000000
jkrc011,Jakarta Pusat,Thamrin,1,1,2,50.0,100800000
ctra022,Jakarta Barat,Daan Mogot,1,1,0,40.0,32500000
rmgd008,Jakarta Barat,Tanjung Duren,1,2,3,110.0,175000000
cagc038,Jakarta Selatan,Casablanca,1,2,2,64.0,145000000
rmgc031,Jakarta Barat,Tanjung Duren,1,1,2,53.0,80000000
btvd005,Jakarta Pusat,Bendungan Hilir,1,2,3,118.0,252000000
mppc001,Jakarta Utara,Sunter,1,1,2,49.0,54150000
thrb020,Jakarta Pusat,Thamrin,1,1,1,40.0,90000000
tmbc067,Jakarta Pusat,Kemayoran,1,1,2,70.0,84000000
mqrd017,Jakarta Barat,Kebon Jeruk,1,2,3,72.0,150000000
jkrd001,Jakarta Pusat,Thamrin,1,2,3,86.0,120000000
vsua006,Tangerang,Karawaci,1,1,0,21.0,32000000
stlb001,Bogor,Sentul,1,1,1,30.0,60000000
kmva008,Jakarta Selatan,Kemang,1,1,0,43.0,132000000
lvnc007,Jakarta Selatan,Pancoran,1,1,2,122.0,204000000
spva021,Jakarta Utara,Sunter,1,1,0,22.0,42000000
tmbb126,Jakarta Pusat,Kemayoran,0,1,1,32.0,50000000
psvd001,Jakarta Utara,Pluit,1,2,3,56.0,45000000
shob008,Jakarta Barat,Tanjung Duren,0,2,1,96.0,100000000
gghd002,Jakarta Utara,Kelapa Gading,0,2,3,75.0,47500000
skgc033,Jakarta Selatan,Setiabudi,1,1,2,63.0,195000000
ssca017,Jakarta Barat,Grogol,1,1,0,31.0,37000000
tbvb012,Jakarta Pusat,Tanah Abang,1,1,1,45.0,102000000
gprc070,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,60000000
blmb022,Jakarta Barat,Kebon Jeruk,1,1,1,33.0,50000000
lxtc010,Jakarta Selatan,Bintaro,1,2,2,88.0,180000000
bsca021,Jakarta Timur,Cipinang,1,1,0,22.0,38000000
trsd026,Jakarta Barat,Tanjung Duren,0,2,3,65.0,100000000
gbpd006,Jakarta Utara,Pluit,1,1,3,42.0,55000000
ppvc072,Jakarta Barat,Kebon Jeruk,0,1,2,35.0,30000000
glvb001,Tangerang,Ciputat,1,1,1,30.0,40000000
fwkc005,Jakarta Utara,Kelapa Gading,1,1,2,85.0,95000000
tssa033,Jakarta Selatan,Semanggi,1,1,0,37.0,66000000
grpc059,Jakarta Selatan,Kalibata,1,1,2,34.0,54000000
ssrc009,Jakarta Pusat,Sudirman,1,2,2,85.0,291600000
puca030,Jakarta Barat,Cengkareng,0,1,0,27.0,35000000
ppvc075,Jakarta Barat,Kebon Jeruk,1,0,2,35.0,40000000
tarc008,Jakarta Selatan,Kuningan,1,1,2,76.0,85200000
taac025,Jakarta Barat,Tanjung Duren,1,1,2,88.0,125000000
tflc001,Jakarta Timur,Pulomas,1,1,2,32.0,50000000
mthc001,Jakarta Timur,Kampung Melayu,1,1,2,58.0,66000000
pucb145,Jakarta Barat,Cengkareng,0,1,1,35.0,36000000
crda002,Depok,Cinere,1,1,0,22.0,42000000
ppvc096,Jakarta Barat,Kebon Jeruk,0,1,2,35.0,36000000
tssa026,Jakarta Selatan,Semanggi,1,1,0,37.0,84000000
p-c0002,Jakarta Selatan,Tebet,1,1,2,38.0,88000000
ssrc035,Jakarta Pusat,Sudirman,1,1,2,68.0,230000000
bscc079,Jakarta Timur,Cipinang,1,1,2,33.0,51000000
cepc013,Jakarta Barat,Tanjung Duren,1,1,2,87.0,200000000
