No_Rooms,Bathroom,Longitude,Latitude,Furnished,Area,Total_Facilities,AnnualPrice
3,2,106.805571,-6.226071,1,175.0,21,405000000
2,2,106.786534,-6.2911019999999995,1,85.0,22,187150000
2,1,106.723973,-6.195343,0,44.0,18,45000000
2,2,106.73873,-6.190723,1,88.0,23,155000000
3,2,106.85068999999999,-6.146146,1,196.0,22,330050000
2,1,106.89143999999999,-6.1493910000000005,1,83.0,21,100000000
2,1,106.851836,-6.257162999999999,0,33.0,21,40000000
0,1,106.729326,-6.166036,1,26.0,19,37000000
2,2,106.791409,-6.282965,1,82.0,24,216000000
2,1,106.757651,-6.186415,0,53.0,16,42000000
2,1,106.836638,-6.148474,1,41.0,21,65000000
0,1,106.7917,-6.1792,1,26.0,13,49000000
1,1,106.80923999999999,-6.213072,1,63.0,22,150000000
1,1,106.729326,-6.166036,0,35.0,18,33000000
1,1,106.815297,-6.149237,0,33.0,12,35000000
2,1,106.752698,-6.311948999999999,1,35.0,20,37500000
1,1,106.90444099999999,-6.181255,1,36.0,20,25000000
3,2,106.7917,-6.1792,0,65.0,7,75000000
2,1,106.89933,-6.224079,1,43.0,20,51000000
0,1,106.769194,-6.237472,1,23.0,20,45000000
2,2,106.84629199999999,-6.222918,1,50.0,23,132000000
2,2,106.788904,-6.24568,1,91.0,24,291060000
2,1,106.890391,-6.149836,1,45.0,24,65000000
3,2,106.804426,-6.2587459999999995,1,131.0,22,220800000
1,1,106.85716000000001,-6.14607,1,30.0,20,60000000
2,1,106.879075,-6.2250309999999995,1,35.0,19,60000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,67150000
1,1,106.866201,-6.245201,1,37.0,21,64800000
2,1,106.80712199999999,-6.121077,0,35.0,21,28000000
2,1,106.83936299999999,-6.129877,0,42.0,15,26100000
2,1,106.815297,-6.149237,1,45.0,18,52000000
2,1,106.75606100000002,-6.192081,1,35.0,21,45000000
2,1,106.879075,-6.2250309999999995,0,34.0,18,75000000
2,1,106.84629199999999,-6.222918,1,42.0,24,90000000
0,1,106.83846299999999,-6.191791,1,28.0,22,72000000
1,1,106.89321000000001,-6.175884,1,43.0,18,48000000
2,1,106.879075,-6.2250309999999995,1,34.0,20,57700000
2,1,106.84986599999999,-6.257697,1,36.0,24,61000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,23,78000000
0,1,106.729326,-6.166036,1,26.0,15,35000000
1,1,106.842672,-6.224187000000001,1,50.0,24,250000000
2,1,106.85716000000001,-6.14607,1,52.0,21,60000000
3,2,106.767839,-6.1887989999999995,0,150.0,21,117500000
3,2,106.73873,-6.190723,1,112.0,24,150000000
0,1,107.0197,-6.2621,1,24.0,11,36000000
2,1,106.73873,-6.190723,1,84.0,24,216000000
0,1,106.866201,-6.245201,1,26.0,20,54000000
0,1,106.757651,-6.186415,1,27.0,21,37000000
2,1,106.791301,-6.221632,1,98.0,21,72000000
0,1,106.83846299999999,-6.191791,1,28.0,22,65000000
1,1,106.831123,-6.222417,1,49.0,21,120000000
2,1,106.86796299999999,-6.243129,1,30.0,20,40500000
0,1,106.83846299999999,-6.191791,1,28.0,16,54000000
2,1,106.78816599999999,-6.175894,1,42.0,23,56000000
0,1,106.68350900000002,-6.2953730000000006,1,24.0,20,50000000
3,1,106.79539199999999,-6.303504,1,83.0,22,144000000
0,1,106.682451,-6.293003,0,28.0,15,21000000
2,1,106.75606100000002,-6.192081,1,35.0,21,42000000
2,1,106.8944,-6.159513,0,37.0,19,35000000
2,1,106.778618,-6.109022,1,35.0,22,38000000
2,1,106.829196,-6.224797,1,60.0,23,150000000
1,1,106.78874099999999,-6.1789190000000005,1,30.0,21,44000000
2,1,106.85716000000001,-6.14607,0,60.0,18,60000000
2,1,106.91636000000001,-6.154351999999999,1,36.0,21,18900000
2,1,106.85716000000001,-6.14607,1,57.0,22,59550000
0,1,106.60767299999999,-6.228493,1,31.0,21,48000000
2,1,106.851836,-6.257162999999999,1,36.0,22,75000000
2,1,106.90444099999999,-6.181255,1,36.0,20,25000000
2,2,106.769194,-6.237472,1,49.0,20,76000000
2,1,106.78816599999999,-6.175894,1,42.0,23,55000000
2,2,106.79539199999999,-6.303504,1,54.0,21,108000000
2,1,106.81802900000001,-6.205971,1,48.0,23,84000000
0,1,106.60767299999999,-6.228493,1,35.0,20,50000000
3,2,106.794123,-6.222613,1,155.0,21,390600000
3,3,106.818351,-6.208956,0,200.0,18,480000000
2,1,106.85493600000001,-6.147823000000001,1,73.0,19,87000000
0,1,106.60767299999999,-6.228493,1,31.0,20,50000000
1,1,106.85716000000001,-6.14607,1,35.0,22,45000000
0,1,106.729326,-6.166036,0,26.0,15,30000000
1,1,106.85493600000001,-6.147823000000001,1,49.0,22,68250000
0,1,106.78238999999999,-6.317404,1,22.0,15,36000000
0,1,106.81915900000001,-6.226598,1,30.0,23,66000000
0,1,106.757651,-6.186415,1,30.0,21,40000000
2,1,106.82921,-6.128082,1,50.0,20,45000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,20,57000000
3,2,106.85010700000001,-6.14907,1,100.0,14,90000000
0,1,106.762396,-6.200106,1,21.0,17,50000000
0,1,106.834047,-6.149718,1,25.0,19,50000000
2,1,106.851836,-6.257162999999999,1,33.0,22,42000000
1,1,106.7917,-6.1792,0,38.0,10,60000000
0,1,106.664,-6.2944,1,28.0,13,45000000
0,1,106.8318,-6.3722,0,30.0,15,27600000
2,2,106.85010700000001,-6.14907,1,60.0,14,85000000
2,1,106.879075,-6.2250309999999995,1,35.0,19,66000000
